author,updated_at,like_count,text,public
@dynamike201,2024-03-01T10:16:02Z,3,a well deserved tribute to nakamura-san and his vocational skills and stubborn perseverance. truly inspirational and clearly the best way to realize crucial contributions to life on earth.,True
@mwendathomas101,2024-02-29T15:22:48Z,2,"i think this is a great example to us as today's engineers, thoroughness in our work.",True
@Powers3rg,2024-02-29T10:06:59Z,2,its crazy how all these geniuses were viewed as crazy and almost always ended up losing everything at the end. i'm happy his story still continues!,True
@awaisakram2081,2024-02-29T05:09:30Z,2,"amazing explanation, inspiring storey, and s. nakamura is a amazing engineer and a very humble person",True
@austingeorge6659,2024-02-29T02:10:56Z,2,explained better thqn my electrical physics course in college.  lol!,True
@afzalahsan4767,2024-02-28T19:22:12Z,49,being an electronics engineer i can assure you guys this 30 mins video almost covered 100hrs of lectures and all the major topics about semiconductors.💙,True
@John_Krone,2024-02-28T18:44:21Z,2,"i am now a shuji nakamura fan. thank you mr. nakamura for your success. we owe you so much. and to veritasium: excellent video, very very engaging. thank you for bringing this story to light.",True
@FredMeyer-no3ji,2024-02-28T11:09:32Z,145,"you work for 40yrs to have $1m in your retirement, meanwhile some people are putting just $10k in a meme coin from just few months ago and now they are multimillionaires.❤️",True
@CraigPrakasam786,2024-02-28T09:10:00Z,167,"i will forever appreciate this channel, you've helped me and my family a lot, your videos, advice and lessons are inspirational helpful to us, i now earn every week. despite the up and downturn in the market system, i'm having the best time of my life financially. i have built my portfolio massively and i still building. you're such a blessing to this generation, we all love you",True
@weiyutong579,2024-02-28T05:24:54Z,36,"i went to uc santa barbara when prof. nakamura received his nobel prize and i was at his sold-out nobel prize presentation at the biggest lecture hall on campus. i remember he had a blue led laser pointer and he waved it around saying to the crowd how cool it was, even though the audience was probably not so astounded because we've gotten used to his technology over the decades. also the audience gave a minutes long standing ovation at the end of his presentation.",True
@barryc9115,2024-02-28T03:45:49Z,4,"what a great story. the man defied every hurdle thrown at him, including his own company. and in doing so, changed the world.",True
@albripi,2024-02-27T22:35:51Z,2,"great story, great explanations, stellar production! you're way better than tv productions now",True
@mattsoreng3066,2024-02-27T12:41:28Z,8,"i love success stories like this. just goes to show that hard work and perseverance pays off. he deserved so much more than he got. definitely happier to see him win the nobel award. you can see just how happy and proud he is, for the work he’s poured his life into, with that smile.",True
@MarkA-pp8ds,2024-02-27T05:33:52Z,7,"great vid!   i spent the 2000's and 2010's  working at tech startups that relied on blue leds, with no small success, i might add.  i knew nichia was our only vendor, and that the inventor was a guy named nakamura, but i never knew the backstory like this.  thanks, veritasium, for presenting this, and thanks to dr. nakamura for making this huge contribution to humanity, and to my career as well!",True
@user-dp8nz7qn8e,2024-02-27T02:18:12Z,12,4:09  tat is the best graphic of valence bands and band gap i have ever seen in my 35years as an electrical engineer. well done !,True
